instance_id,image_id,title,year,type,url,dc:title,dc:creator,dc:subject,dc:date,dc:identifier,ocr_text
10002-2006-Urban_Voids_Grounds_for_Change-0,10002,Urban Voids Grounds for Change,2006,drawing,https://archivingresearch.s3.amazonaws.com/10002-2006-Urban_Voids_Grounds_for_Change-0.jpg,Urban Voids Grounds for Change,unknown,urban|voids|grounds|change,2006,10002-2006-Urban_Voids_Grounds_for_Change-0,"CLSl@ ACTION-REACTION PAIR ‘Complimenting or counteracting the outward motion of the center city, and city growth in gen- eral, with the design strategy: Starting on the outside and working in. It is an act of containing the City. This will balance and stabilize Philadelphia. An important middle ground, the fusion zone be- tween inner city and the peripheral sprawi will be created. REALITY CHECK You must have a master plan, but must also take into account that things do not always work out according to the plan. it is the notion of filtering the actual through the ideal to find what is needed. Center City, where Philadelphia began. was originally a well-defined grid intended to set the order for the rest of the city's existence. With time, the grid deteriorated at the edges as. growth sprawled outward THE ORDER WITHIN The chaos theory is based on fact that any system may seem disordered, but there is an underlying order in its apparently random data. Figuring out the pattern within the"
10002-2006-Urban_Voids_Grounds_for_Change-1,10002,Urban Voids Grounds for Change,2006,drawing,https://archivingresearch.s3.amazonaws.com/10002-2006-Urban_Voids_Grounds_for_Change-1.jpg,Urban Voids Grounds for Change,unknown,urban|voids|grounds|change,2006,10002-2006-Urban_Voids_Grounds_for_Change-1,lype & CONTIGUOUS feat
10005-2006-Urban_Voids_Grounds_for_Change-0,10005,Urban Voids Grounds for Change,2006,drawing,https://archivingresearch.s3.amazonaws.com/10005-2006-Urban_Voids_Grounds_for_Change-0.jpg,Urban Voids Grounds for Change,unknown,urban|voids|grounds|change,2006,10005-2006-Urban_Voids_Grounds_for_Change-0,"urban voids ae “Sk A ot na Al rt f } central pUsiness district t se = coer, mi nprvonces [] al Say lennonces oe a ae gg hte cuca Rene an — industrial ‘Today, the shores of the Delaware River sutfer rom| the effects of deindustiatzation. Demotshed ana| ‘abandoned factories have created @ bighted| neighborhood, drug ond crime ridden, The reaties ‘of contamination threaten the landscope. PERtwine e@ nid % By weaving together the existing conditions in Philadelphia with ideas for the future, a new urban fabric is cre- ~ ss ‘ ated. This is achieved on various scales by first defining the loom for each site, or basis for which alll things will @linital fe; sacalfabric be woven into. For example, Rittenhouse Square might become a loom for sites near the square. The next step ce . . is to identify the warp or existing threads in the selected areas. These threads might be a dominant group of Oo [= people or a popular activity or profession that exists around the site. Finally new threads can be"
10005-2006-Urban_Voids_Grounds_for_Change-1,10005,Urban Voids Grounds for Change,2006,drawing,https://archivingresearch.s3.amazonaws.com/10005-2006-Urban_Voids_Grounds_for_Change-1.jpg,Urban Voids Grounds for Change,unknown,urban|voids|grounds|change,2006,10005-2006-Urban_Voids_Grounds_for_Change-1,"hase 1- This step involves constructing the standard gtid and allows for future modules to be put into place. This is un-invassive to the existing environ- ment is left relatively undisturbed. POVERTY The fist step of this pro- cessis to construct a three dimensional grid that allows the void to exist, but also allows Positive space to begin to be realized. | Its shown here in ‘Steel but This could be realized in many different ways such as trees or ight post or any number of differ- ent structures. riding out the existing conditions for future cleanup. The grade is also leveled to provide a solid base. gee CONTAMINATION poe? phase 1 Sys 10yrs. (0 ys_ «40 yrs_ «SO yrs ——— LOOM site 1 site 2 site 3 grid, existing buildings, building ruins grid, existing buildings, transportation lines grid, shore line, existing buildings In this phase, solid q or Positive space that can be used for community gatherings. On these | panels could be ad- vertisements or an- nouncements about future events. "
10008-2006-Urban_Voids_Grounds_for_Change-0,10008,Urban Voids Grounds for Change,2006,drawing,https://archivingresearch.s3.amazonaws.com/10008-2006-Urban_Voids_Grounds_for_Change-0.jpg,Urban Voids Grounds for Change,unknown,urban|voids|grounds|change,2006,10008-2006-Urban_Voids_Grounds_for_Change-0,"Phildelphia is the tragic American City. Likemany American cities, people diffused fromthe city in times of economic and social change. What remains is largely homogenous: a landscape of fragmented rowhouse blocks amongst empty lots. Businesses and amenities are limited. Well-known parks are far away. Landscape differentiation, a sense identity, is lacking. We think of land no longer needed as emptiness. We think of density lost and voids. Can we cast our perceptions aside? Philadelphia is writhe not with voids, but with unharnessed open space - the commodity other cities struggle to maintain and to create. Philadelphia is rooted in William Penn's vision: living with enough land to sustain community and well being. Philadelphia is the American urban dream. A landscape for reclaimed identities is proposed. Several distinct “palettes”, mixes of select plantings and simple hardscapes, are developed for strong characteristic colors, scales, and bloom. Vacant lots are cleared and grouped in"
10008-2006-Urban_Voids_Grounds_for_Change-1,10008,Urban Voids Grounds for Change,2006,drawing,https://archivingresearch.s3.amazonaws.com/10008-2006-Urban_Voids_Grounds_for_Change-1.jpg,Urban Voids Grounds for Change,unknown,urban|voids|grounds|change,2006,10008-2006-Urban_Voids_Grounds_for_Change-1,"CUST ID# 0673 palette) (Connectivity:) ' Astparinpesed network of harcdseape [nhs r= KS <E <é Gefimed lots fa a gfivem palate district, The spe Gououels ool Webi cad beech und ced i oe = Gy locking under Ghat dct the citizen cam always S Renee wine Both within dhe lenge Palette Diagrans Str Rea euoaenTes ay"
10011-2006-Urban_Voids_Grounds_for_Change-0,10011,Urban Voids Grounds for Change,2006,drawing,https://archivingresearch.s3.amazonaws.com/10011-2006-Urban_Voids_Grounds_for_Change-0.jpg,Urban Voids Grounds for Change,unknown,urban|voids|grounds|change,2006,10011-2006-Urban_Voids_Grounds_for_Change-0,"New Urban BIOCK - theehiaseiphia project Community Greens Inspired by the sense of green throughout the city whereby one is never far fom a river stream, or larger ecosystem, ""we purpose the creation of community greens’ surrounded by revitalized urban blocks. The urban glue these spaces provide, link the city physically and metaphorically, and seek to engender a sense of community by evitalizing areas ‘of decline. ‘Ourresearch explored the quotidian of block occupancy. informing the design of a newly integrated steet system that remains active throughout the day by combining residential use with shops restaurants, and cultura venues. Surrounding the greens, we propose granting ownership/lease to residents and create opportunity for new development within the community. Using the micro-scale of individual city blocks, the green spaces create a framework within the city that ‘connects to larger natural environments unique to Philadelphia, including the Schuykill and Delaware Rivers,and "
10011-2006-Urban_Voids_Grounds_for_Change-1,10011,Urban Voids Grounds for Change,2006,drawing,https://archivingresearch.s3.amazonaws.com/10011-2006-Urban_Voids_Grounds_for_Change-1.jpg,Urban Voids Grounds for Change,unknown,urban|voids|grounds|change,2006,10011-2006-Urban_Voids_Grounds_for_Change-1,"Existing Condition 1c a msjorty freee athe me se ements hat ‘evaterthe setters hep sl troughoutthe couse a Curroponl castor aetstbaion ofthe neste neightotood, ‘romotinga mart eidenes lal shop andresauats Wh ‘Set ttn these bulng ype he set ils constant ‘Seep crating ot pu eraser 2. Minfrmisine inh tye et cote “eve promising ester set eonment 3-4 Sestentomen send ees nhaondperopn Proposed Condition an ne ming of roars bling tee nd economic ‘Scher the set become lence gpm cen pose ‘ren peor andar Ol wen teams nallet here be 9 see community Connector - Pedestrian, Cycling, and Light Traffic Pathways tern commanty eens establied sees pthnaysarcreatedin orf ‘nblaing te comecton betaen the tern aighboheod oughou tei sent ‘hatter pana penevate ey ard nore toremiguate rss a ey hat have been recedes _valinages ae sabe by create sgnage and comination ty mul projet tata ‘hepathnar 0462 Occupancy / Activity Study. Part he cobs aos creo the tan vids Isa ofthe sets Safety othe eet cante dey ttt the "
10014-2006-Urban_Voids_Grounds_for_Change-0,10014,Urban Voids Grounds for Change,2006,drawing,https://archivingresearch.s3.amazonaws.com/10014-2006-Urban_Voids_Grounds_for_Change-0.jpg,Urban Voids Grounds for Change,unknown,urban|voids|grounds|change,2006,10014-2006-Urban_Voids_Grounds_for_Change-0,UNCOVER / INFRASTRUCTURAL FOUNDATIONS Vac priv RECOVER d to the size and nee we nunity involvement me e. Their foundatior f the community and 0579
10014-2006-Urban_Voids_Grounds_for_Change-1,10014,Urban Voids Grounds for Change,2006,drawing,https://archivingresearch.s3.amazonaws.com/10014-2006-Urban_Voids_Grounds_for_Change-1.jpg,Urban Voids Grounds for Change,unknown,urban|voids|grounds|change,2006,10014-2006-Urban_Voids_Grounds_for_Change-1,
